contentId,language,title,description,templateCode,answer01_code,answer01_hint,answer01_desc,answer02_code,answer02_hint,answer02_desc,answer03_code,answer03_hint,answer03_desc
,Python,文字列を逆にせよ,与えられた文字列を逆順にして返す関数 `reverse_string` を作成してください。,def reverse_string(s):\n    # ここに書くコードを考えてください\n    pass,"result = ''\nfor i in range(len(s) - 1, -1, -1):\n    result += s[i]\nreturn result",末尾から1文字ずつ結合,文字列の最後の文字から順番に、新しい文字列に1文字ずつ追加していく方法です。例えば「こんにちは」という文字列なら、「は」「ち」「に」「ん」「こ」の順に結合していきます。,return s[::-1],スライス記法で一括変換,Pythonのスライス記法[::-1]を使って文字列を逆順にする方法です。最も簡潔で効率的な方法です。,return ''.join(reversed(s)),reversed関数とjoin使用,reversed()関数で文字列を逆順のイテレータにし、join()で文字列に戻す方法です。メモリ効率が良い方法です。
,Python,リストの合計を求めよ,整数のリストを受け取り、その合計を返す関数 `sum_list` を作成してください。,def sum_list(lst):\n    # ここに書くコードを考えてください\n    pass,total = 0\nfor num in lst:\n    total += num\nreturn total,for文で順次加算,"リストの数字を1つずつ順番に足し合わせていく方法です。例えば[1, 2, 3]というリストなら、0から始めて1を足し、2を足し、3を足して、最終的に6になります。",return sum(lst),sum関数使用,Pythonの組み込み関数sum()を使ってリストの合計を直接計算する方法です。最も簡単で効率的な方法です。,"return reduce(lambda x, y: x + y, lst, 0)",reduceで集計,functools.reduce()を使ってリストの数字をまとめて足し合わせる方法です。最初に0を設定し、そこにリストの数字を1つずつ足していきます。
,Python,偶数のみ抽出,整数リストから偶数だけを抽出して返す関数 `filter_even` を作成してください。,def filter_even(lst):\n    # ここに書くコードを考えてください\n    pass,result = []\nfor num in lst:\n    if num % 2 == 0:\n        result.append(num)\nreturn result,for文で条件分岐,"リストの数字を1つずつ確認し、2で割り切れる数（偶数）だけを新しいリストに追加していく方法です。例えば[1, 2, 3, 4]というリストなら、[2, 4]というリストができます。",return [x for x in lst if x % 2 == 0],リスト内包表記で条件抽出,リスト内包表記を使ってリストから条件に合う数字だけを選び出す方法です。2で割り切れる数だけを選び出して新しいリストを作ります。,"return list(filter(lambda x: x % 2 == 0, lst))",filter関数使用,filter()関数とlambda式を使ってリストから偶数だけを選び出す方法です。関数型プログラミングのアプローチです。
,Python,最大値を求めよ,整数リストから最大値を返す関数 `find_max` を作成してください。,def find_max(lst):\n    # ここに書くコードを考えてください\n    pass,if not lst:\n    return None\nmax_val = lst[0]\nfor num in lst[1:]:\n    if num > max_val:\n        max_val = num\nreturn max_val,for文で順次比較,リストの最初の要素を最大値として設定し、残りの要素を1つずつ比較して最大値を更新していく方法です。空のリストの場合はNoneを返します。,return max(lst) if lst else None,max関数使用,Pythonの組み込み関数max()を使ってリストの最大値を直接取得する方法です。最も簡単で効率的な方法です。,"return reduce(lambda x, y: x if x > y else y, lst) if lst else None",reduceで比較,functools.reduce()を使ってリストの要素を順次比較し、最大値を求める方法です。関数型プログラミングのアプローチです。
,Python,文字列の長さを求めよ,文字列の長さを返す関数 `string_length` を作成してください。,def string_length(s):\n    # ここに書くコードを考えてください\n    pass,count = 0\nfor char in s:\n    count += 1\nreturn count,for文で文字数カウント,文字列の文字を1つずつ数えていく方法です。文字列の各文字を順番に確認して、カウンターを1ずつ増やしていきます。,return len(s),len関数使用,Pythonの組み込み関数len()を使って文字列の長さを直接取得する方法です。最も簡単で効率的な方法です。,return sum(1 for _ in s),sumとジェネレータ式使用,ジェネレータ式とsum()を組み合わせて文字数をカウントする方法です。メモリ効率が良い方法です。
,Python,リストをソートせよ,整数リストを昇順にソートして返す関数 `sort_list` を作成してください。,def sort_list(lst):\n    # ここに書くコードを考えてください\n    pass,"result = lst.copy()\nfor i in range(len(result)):\n    for j in range(i + 1, len(result)):\n        if result[i] > result[j]:\n            result[i], result[j] = result[j], result[i]\nreturn result",バブルソート実装,バブルソートアルゴリズムを実装する方法です。隣り合う要素を比較して、大きい方を後ろに移動させることを繰り返します。,return sorted(lst),sorted関数使用,Pythonの組み込み関数sorted()を使ってリストをソートする方法です。最も簡単で効率的な方法です。,result = lst.copy()\nresult.sort()\nreturn result,sortメソッド使用,リストのsort()メソッドを使ってソートする方法です。元のリストを変更せずに、コピーを作成してからソートします。
,Python,文字列の出現回数を数えよ,文字列内で指定された文字の出現回数を返す関数 `count_char` を作成してください。,"def count_char(s, char):\n    # ここに書くコードを考えてください\n    pass",count = 0\nfor c in s:\n    if c == char:\n        count += 1\nreturn count,for文で文字比較,文字列の各文字を1つずつ確認し、指定された文字と一致する回数をカウントする方法です。,return s.count(char),countメソッド使用,文字列のcount()メソッドを使って指定された文字の出現回数を直接取得する方法です。最も簡単で効率的な方法です。,return sum(1 for c in s if c == char),sumとジェネレータ式使用,ジェネレータ式とsum()を組み合わせて文字の出現回数をカウントする方法です。条件に合う文字だけをカウントします。
,Python,リストの重複を除去せよ,リストから重複する要素を除去して返す関数 `remove_duplicates` を作成してください。,def remove_duplicates(lst):\n    # ここに書くコードを考えてください\n    pass,result = []\nfor item in lst:\n    if item not in result:\n        result.append(item)\nreturn result,for文で重複チェック,リストの各要素を1つずつ確認し、結果リストに存在しない要素だけを追加していく方法です。,return list(set(lst)),set関数使用,set()を使って重複を除去し、list()でリストに戻す方法です。最も簡単で効率的な方法ですが、順序が保持されません。,return list(dict.fromkeys(lst)),dict.fromkeys使用,dict.fromkeys()を使って重複を除去し、順序を保持する方法です。Python 3.7以降で順序が保持されます。
,Python,文字列が回文か判定せよ,文字列が回文（前から読んでも後ろから読んでも同じ）かどうかを判定する関数 `is_palindrome` を作成してください。,def is_palindrome(s):\n    # ここに書くコードを考えてください\n    pass,left = 0\nright = len(s) - 1\nwhile left < right:\n    if s[left] != s[right]:\n        return False\n    left += 1\n    right -= 1\nreturn True,両端から比較,文字列の両端から中央に向かって文字を比較していく方法です。異なる文字が見つかった時点でFalseを返します。,return s == s[::-1],スライスで逆順比較,文字列を逆順にして元の文字列と比較する方法です。最も簡潔で分かりやすい方法です。,return all(s[i] == s[~i] for i in range(len(s) // 2)),all関数とビット演算使用,all()関数とビット演算（~i）を使って効率的に比較する方法です。メモリ効率が良い方法です。
,Python,フィボナッチ数列を生成せよ,指定された個数までのフィボナッチ数列を返す関数 `fibonacci` を作成してください。,def fibonacci(n):\n    # ここに書くコードを考えてください\n    pass,"if n <= 0:\n    return []\nelif n == 1:\n    return [0]\nelif n == 2:\n    return [0, 1]\nelse:\n    fib = [0, 1]\n    for i in range(2, n):\n        fib.append(fib[i-1] + fib[i-2])\n    return fib",for文で順次計算,"フィボナッチ数列を順番に計算していく方法です。最初の2つの数（0, 1）から始めて、前の2つの数の和を次の数として追加していきます。","if n <= 0:\n    return []\na, b = 0, 1\nresult = []\nfor _ in range(n):\n    result.append(a)\n    a, b = b, a + b\nreturn result",変数スワップ使用,2つの変数を使ってフィボナッチ数列を計算する方法です。メモリ効率が良く、理解しやすい方法です。,"def fib_gen():\n    a, b = 0, 1\n    while True:\n        yield a\n        a, b = b, a + b\nreturn list(next(fib_gen()) for _ in range(n)) if n > 0 else []",ジェネレータ使用,ジェネレータ関数を使ってフィボナッチ数列を生成する方法です。メモリ効率が非常に良い方法です。
